number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
24,chromium,cr,"chromium, cr","/?kro?mi?m/, kroh-mee-?m",silvery metallic,24,"group 6, d-block",4,transition metal,51.99616,[ar] 3d5 4s1,2,,solid,2180,2944,,6.3,,,,21,347,23.35,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1656, 1807, 1991, 2223, 2530, 2942",6,pauling scale: 1.66,"1st: 652.9 kj/mol, 2nd: 1590.6 kj/mol, 3rd: 2987 kj/mol, (more)",139±5 pm,,body-centered cubic (bcc),,93.9,antiferromagnetic (rather: sdw),7440-47-3,,,"iso, na, half-life, dm, de (mev), dp, 50cr, 4.345%, 50cr is stable with 26 neutrons, 51cr, syn, 27.7025 d, ?, –, 51v, ?, 0.320, –, 52cr, 83.789%, 52cr is stable with 28 neutrons, 53cr, 9.501%, 53cr is stable with 29 neutrons, 54cr, 2.365%, 54cr is stable with 30 neutrons",1656,,,7.19,empirical: 128 pm,5940,4.9,125,279,115,160,,687–6500 mpa,0.21,1060,,,,,,,,"louis nicolas vauquelin (1797, 1798)",,,,,,,,,,,
25,manganese,mn,"manganese, mn","/?mæ???ni?z/, mang-g?-neez",silvery metallic,25,"group 7, d-block",4,transition metal,54.9380443,[ar] 3d5 4s2,2,,solid,1519,2334,,5.95,,,,12.91,221,26.32,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1228, 1347, 1493, 1691, 1955, 2333",7,pauling scale: 1.55,"1st: 717.3 kj/mol, 2nd: 1509.0 kj/mol, 3rd: 3248 kj/mol, (more)","low spin: 139±5 pm, high spin: 161±8 pm",,body-centered cubic (bcc),,7.81,paramagnetic,7439-96-5,torbern olof bergman (1770),,"iso
na
half-life
dm
de (mev)
dp


52mn
syn
5.591 d
?
–
52cr


?+
0.575
52cr


?
0.7, 0.9, 1.4
–


53mn
trace
3.74×106 y
?
–
53cr


54mn
syn
312.3 d
?
1.377
54cr


?
0.834
–


55mn
100%
55mn is stable with 30 neutrons",1228,,johann gottlieb gahn (1774),7.21,empirical: 127 pm,5150,21.7,1.44,198,,120,6,196,,,,,,,,,,,,,,,,,,,,,
26,iron,fe,"iron, fe","/?a?.?rn/, eye-urn",lustrous metallic with a grayish tinge,26,"group 8, d-block",4,transition metal,55.8452,[ar] 3d6 4s2,2,,solid,1811,3134,,6.98,,,,13.81,340,25.1,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1728, 1890, 2091, 2346, 2679, 3132","?4, ?2, ?1, +1, +2, +3, +4, +5, +6 (an amphoteric oxide)",pauling scale: 1.83,"1st: 762.5 kj/mol, 2nd: 1561.9 kj/mol, 3rd: 2957 kj/mol, (more)","low spin: 132±3 pm, high spin: 152±6 pm",,"face-centered cubic (fcc), between 1185–1667 k",,80.4,ferromagnetic,7439-89-6,before 5000 bc,,"iso, na, half-life, dm, de (mev), dp, 54fe, 5.85%, 54fe is stable with 28 neutrons, 55fe, syn, 2.73 y, ?, 0.231, 55mn, 56fe, 91.75%, 56fe is stable with 30 neutrons, 57fe, 2.12%, 57fe is stable with 31 neutrons, 58fe, 0.28%, 58fe is stable with 32 neutrons, 59fe, syn, 44.503 d, ??, 1.565, 59co, 60fe, syn, 2.6×106 y, ??, 3.978, 60co",1728,,,7.874,empirical: 126 pm,5120,11.8,96.1,211,82,170,4,200–1180 mpa,0.29,608,,,,,,,,,,,,1043,,,,,,,
27,cobalt,co,"cobalt, co","/?ko?b?lt/, koh-bahlt",hard lustrous bluish gray metal,27,"group 9, d-block",4,transition metal,58.9331944,[ar] 3d7 4s2,2,metallic gray,solid,1768,3200,,8.86,,,,16.06,377,24.81,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1790, 1960, 2165, 2423, 2755, 3198","?3, ?1, +1, +2, +3, +4, +5 (an amphoteric oxide)",pauling scale: 1.88,"1st: 760.4 kj/mol, 2nd: 1648 kj/mol, 3rd: 3232 kj/mol, (more)","low spin: 126±3 pm, high spin: 150±7 pm",,hexagonal close-packed (hcp),,100,ferromagnetic,7440-48-4,georg brandt (1732),,"iso
na
half-life
dm
de (mev)
dp


56co
syn
77.27 d
?
4.566
56fe


57co
syn
271.79 d
?
0.836
57fe


58co
syn
70.86 d
?
2.307
58fe


59co
100%
59co is stable with 32 neutrons


60co
syn
5.2714 y
??, ?
2.824
60ni",1790,,,8.9,empirical: 125 pm,4720,13,62.4,209,75,180,5,470–3000 mpa,0.31,1043,,,,,,,,,,,,,,,,,,,
28,nickel,ni,"nickel, ni","/?n?k?l/, nik-?l","lustrous, metallic, and silver with a gold tinge",28,"group 10, d-block",4,transition metal,58.69344,"[ar] 3d8 4s2 or, [ar] 3d9 4s1",2,,solid,1728,3003,,7.81,,,,17.48,379,26.07,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1783, 1950, 2154, 2410, 2741, 3184",4,pauling scale: 1.91,"1st: 737.1 kj/mol, 2nd: 1753.0 kj/mol, 3rd: 3395 kj/mol, (more)",124±4 pm,163,face-centered cubic (fcc),,90.9,ferromagnetic,7440-02-0,,,"iso, na, half-life, dm, de (mev), dp, 58ni, 68.077%, 58ni is stable with 30 neutrons, 59ni, trace, 7.6×104 y, ?, 0.0506, 59co, 60ni, 26.223%, 60ni is stable with 32 neutrons, 61ni, 1.140%, 61ni is stable with 33 neutrons, 62ni, 3.635%, 62ni is stable with 34 neutrons, 63ni, syn, 100.1 y, ??, 0.0669, 63cu, 64ni, 0.926%, 64ni is stable with 36 neutrons",1783,,,8.908,empirical: 124 pm,4900,13.4,69.3,200,76,180,4,667–1600 mpa,0.31,638,,,,,,,,axel fredrik cronstedt (1751),,,,,,,,,,,
29,copper,cu,"copper, cu","/?k?p?r/, kop-?r",red-orange metallic luster,29,"group 11, d-block",4,transition metal,63.5463,[ar] 3d10 4s1,2,,solid,1357.77,2835,,8.02,,,,13.26,300.4,24.44,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1509, 1661, 1850, 2089, 2404, 2834","?2, +1, +2, +3, +4 (a mildly basic oxide)",pauling scale: 1.90,"1st: 745.5 kj/mol, 2nd: 1957.9 kj/mol, 3rd: 3555 kj/mol, (more)",132±4 pm,140,face-centered cubic (fcc),,401,diamagnetic,7440-50-8,middle east (9000 bce),,"iso, na, half-life, dm, de (mev), dp, 63cu, 69.15%, 63cu is stable with 34 neutrons, 64cu, syn, 12.700 h, ?, –, 64ni, ??, –, 64zn, 65cu, 30.85%, 65cu is stable with 36 neutrons, 67cu, syn, 61.83 h, ??, –, 67zn",1509,"after cyprus, principal mining place in roman era (cyprium)",,8.96,empirical: 128 pm,"(annealed), 3810 m/s (at r.t.)",16.5,16.78,110–128 gpa,48,140,3,235–878 mpa,0.34,343–369 mpa,,,,,,,,,,,,,,,,,,,
30,zinc,zn,"zinc, zn","/?z??k/, zingk",silver-gray,30,"group 12, d-block",4,"transition metal, alternatively considered a post-transition metal",65.382,[ar] 3d10 4s2,2,,solid,692.68,1180,,6.57,,,,7.32,115,25.47,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 610, 670, 750, 852, 990, 1179",-2,pauling scale: 1.65,"1st: 906.4 kj/mol, 2nd: 1733.3 kj/mol, 3rd: 3833 kj/mol, (more)",122±4 pm,139,hexagonal close-packed (hcp),,116,diamagnetic,7440-66-6,indian metallurgists (before 1000 bce),,"iso, na, half-life, dm, de (mev), dp, 64zn, 49.2%, 64zn is stable with 34 neutrons, 65zn, syn, 243.8 d, ?, 1.3519, 65cu, ?, 1.1155, –, 66zn, 27.7%, 66zn is stable with 36 neutrons, 67zn, 4.0%, 67zn is stable with 37 neutrons, 68zn, 18.5%, 68zn is stable with 38 neutrons, 69zn, syn, 56 min, ??, 0.906, 69ga, 69mzn, syn, 13.76 h, ??, 0.906, 69ga, 70zn, 0.6%, 70zn is stable with 40 neutrons, 71zn, syn, 2.4 min, ??, 2.82, 71ga, 71mzn, syn, 3.97 d, ??, 2.82, 71ga, 72zn, syn, 46.5 h, ??, 0.458, 72ga",610,,andreas sigismund marggraf (1746),7.14,empirical: 134 pm,3850,30.2,59,108,43,70,2.5,327–412 mpa,0.25,,,,,,,,,,,,,,rasaratna samuccaya (800),,,,,,
31,gallium,ga,"gallium, ga","/??æli?m/, gal-ee-?m",silvery blue,31,"group 13, p-block",4,post-transition metal,69.7231,[ar] 3d10 4s2 4p1,2,,solid,302.9146,2673,,6.095,,,,5.59,256,25.86,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1310, 1448, 1620, 1838, 2125, 2518",3,pauling scale: 1.81,"1st: 578.8 kj/mol, 2nd: 1979.3 kj/mol, 3rd: 2963 kj/mol, (more)",122±3 pm,187,orthorhombic,,40.6,diamagnetic,7440-55-3,,,"iso, na, half-life, dm, de (mev), dp, 66ga, syn, 9.5 h, ?+, 4.153, 66zn, 67ga, syn, 3.261 d, ?, 1.001, 67zn, 68ga, syn, 1.13 h, ?+, 1.899, 68zn, 69ga, 60.11%, 69ga is stable with 38 neutrons, 70ga, syn, 21.1 min, ??, 1.653, 70ge, ?, 0.655, 70zn, 71ga, 39.89%, 71ga is stable with 40 neutrons, 72ga, syn, 14.10 h, ??, 3.997, 72ge, 73ga, syn, 4.9 h, ??, 1.598, 73ge",1310,"after gallia (latin for: france), homeland of the discoverer",,5.91,empirical: 135 pm,2740,18,270,9.8,,,1.5,56.8–68.7 mpa,0.47,,,,,,,,dmitri mendeleev (1871),lecoq de boisbaudran (1875),,,,,,,,,,,
32,germanium,ge,"germanium, ge","/d??r?me?ni?m/, j?r-may-nee-?m",grayish-white,32,"group 14 (carbon group), p-block",4,metalloid,72.6308,[ar] 3d10 4s2 4p2,2,,solid,1211.4,3106,,5.6,,,,36.94,334,23.222,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1644, 1814, 2023, 2287, 2633, 3104",4,pauling scale: 2.01,"1st: 762 kj/mol, 2nd: 1537.5 kj/mol, 3rd: 3302.1 kj/mol",122,211,face-centered diamond-cubic,,60.2,diamagnetic,7440-56-4,clemens winkler (1886),,"iso, na, half-life, dm, de (mev), dp, 68ge, syn, 270.8 d, ?, –, 68ga, 70ge, 20.52%, 70ge is stable with 38 neutrons, 71ge, syn, 11.26 d, ?, –, 71ga, 72ge, 27.45%, 72ge is stable with 40 neutrons, 73ge, 7.76%, 73ge is stable with 41 neutrons, 74ge, 36.52%, 74ge is stable with 42 neutrons, 76ge, 7.75%, 1.78×1021 y, ????, 2.039, 76se",1644,"after germany, homeland of the discoverer",,5.323,empirical: 122 pm,5400,6,1,103,41,75,6,,0.26,,,,,,,,dmitri mendeleev (1871),,,0.67,,,,,,,,,
33,arsenic,as,"arsenic, as","/???rs?n?k/, also /??r?s?n?k/ when attributive
ar-s?-nik, ar-sen-ik",metallic grey,33,"group 15 (pnictogens), p-block",4,metalloid,74.9215956,[ar] 3d10 4s2 4p3,2,,solid,,,,5.22,,1090,1673,grey: 24.44 kj/mol,34.76,24.64,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 553, 596, 646, 706, 781, 874",5,pauling scale: 2.18,"1st: 947.0 kj/mol, 2nd: 1798 kj/mol, 3rd: 2735 kj/mol, (more)",119±4 pm,185,rhombohedral,,50.2,diamagnetic,7440-38-2,early bronze age (2500 bc),,"iso
na
half-life
dm
de (mev)
dp


73as
syn
80.3 d
?
–
73ge


?
0.05d, 0.01d, e
–


74as
syn
17.78 d
?
–
74ge


?+
0.941
74ge


?
0.595, 0.634
–


??
1.35, 0.717
74se


75as
100%
75as is stable with 42 neutrons",553,,albertus magnus (1250),5.727,empirical: 119 pm,,5.6,333,8,,22,3.5,1440,,,"grey (most common), yellow, black",,887,,,,,,,,,,,,,,,,
34,selenium,se,"selenium, se","/s??li?ni?m/, si-lee-nee-?m","black, red, and gray (not pictured) allotropes",34,"group 16 (chalcogens), p-block",4,"polyatomic nonmetal, sometimes considered a metalloid",78.9718,[ar] 3d10 4s2 4p4,2,,solid,494,958,,3.99,,,1766,gray: 6.69 kj/mol,95.48,25.363,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 500, 552, 617, 704, 813, 958",6,pauling scale: 2.55,"1st: 941.0 kj/mol, 2nd: 2045 kj/mol, 3rd: 2973.7 kj/mol",120±4 pm,190,hexagonal,,amorphous: 0.519 w/(m·k),diamagnetic,7782-49-2,,,"iso
na
half-life
dm
de (mev)
dp


72se
syn
8.4 d
?
–
72as


?
0.046
–


74se
0.86%
74se is stable with 40 neutrons


75se
syn
119.779 d
?
–
75as


?
0.264, 0.136,
0.279
–


76se
9.23%
76se is stable with 42 neutrons


77se
7.60%
77se is stable with 43 neutrons


78se
23.69%
78se is stable with 44 neutrons


79se
trace
3.27×105 y
??
0.151
79br


80se
49.80%
80se is stable with 46 neutrons


82se
8.82%
1.08×1020 y
????
2.995
82kr",500,"after selene, greek goddess of the moon",,"gray: 4.81 g/cm3, alpha: 4.39 g/cm3, vitreous: 4.28 g/cm3",empirical: 120 pm,3350,amorphous: 37 μm/(m·k) (at 25 °c),,10,3.7,8.3,2,736,0.33,,,,,,,,,jöns jakob berzelius and johann gottlieb gahn (1817),,,,,,,,,,,
35,bromine,br,"bromine, br","/?bro?mi?n/ or /?bro?m?n/, broh-meen or broh-min",reddish-brown,35,"group 17 (halogens), p-block",4,diatomic nonmetal,79.904,[ar] 3d10 4s2 4p5,2,,liquid,265.8,332,,,,265.9,588,(br2) 10.571 kj/mol,,(br2) 75.69 j/(mol·k),"vapour pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 185, 201, 220, 244, 276, 332",7,pauling scale: 2.96,,120±3 pm,185,orthorhombic,206,0.122,diamagnetic,7726-95-6,,,"iso, na, half-life, dm, de (mev), dp, 79br, 51%, 79br is stable with 44 neutrons, 81br, 49%, 81br is stable with 46 neutrons",185,,,"br2, liquid: 3.1028 g/cm3",empirical: 120 pm,,,7.8×1010 ?·m (at 20 °c),,,,,,,,,,,,(br2) 29.96 kj/mol,"1st: 1139.9 kj/mol, 2nd: 2103 kj/mol, 3rd: 3470 kj/mol",,antoine jérôme balard and carl jacob löwig (1825),,,,,,,,,,,
36,krypton,kr,"krypton, kr","/?kr?pt?n/, krip-ton","colorless gas, exhibiting a whitish glow in a high electric field",36,"group 18 (noble gases), p-block",4,noble gas,83.7982,[ar] 3d10 4s2 4p6,2,,gas,115.78,119.93,3.749,,2.413,115.775,209.48,1.64,9.08,20.95,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 59, 65, 74, 84, 99, 120",2,pauling scale: 3.00,"1st: 1350.8 kj/mol, 2nd: 2350.4 kj/mol, 3rd: 3565 kj/mol",116±4 pm,202,face-centered cubic (fcc),"(gas, 23 °c) 220 m·s?1
(liquid) 1120 m/s",9.43×10?3  w/(m·k),diamagnetic,7439-90-9,,,"iso
na
half-life
dm
de (mev)
dp


78kr
0.36%
78kr is stable with 42 neutrons


79kr
syn
35.04 h
?
–
79br


?+
0.604
79br


?
0.26, 0.39, 0.60
–


80kr
2.29%
80kr is stable with 44 neutrons


81kr
trace
2.29×105 y
?
–
81br


?
0.281
–


82kr
11.59%
82kr is stable with 46 neutrons


83kr
11.50%
83kr is stable with 47 neutrons


84kr
56.99%
84kr is stable with 48 neutrons


85kr
syn
10.756 y
??
0.687
85rb


86kr
17.28%
86kr is stable with 50 neutrons",59,,,,,,,,,,,,,,,,,,,,,,william ramsay and morris travers (1898),,,,,,,,,,,
37,rubidium,rb,"rubidium, rb","/r??b?di?m/, roo-bid-ee-?m",grey white,37,"group 1 (alkali metals), s-block",5,alkali metal,85.46783,[kr] 5s1,2,,solid,312.45,961,,1.46,,312.41,2093,2.19,69,31.06,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 434, 486, 552, 641, 769, 958","+1, ?1 (a strongly basic oxide)",pauling scale: 0.82,"1st: 403 kj/mol, 2nd: 2632.1 kj/mol, 3rd: 3859.4 kj/mol",220±9 pm,303,body-centered cubic (bcc),,58.2,paramagnetic,7440-17-7,robert bunsen and gustav kirchhoff (1861),,"iso
na
half-life
dm
de (mev)
dp


83rb
syn
86.2 d
?
–
83kr


?
0.52, 0.53,
0.55
–


84rb
syn
32.9 d
?
–
84kr


?+
1.66, 0.78
84kr


?
0.881
–


??
0.892
84sr


85rb
72.17%
85rb is stable with 48 neutrons


86rb
syn
18.65 d
??
1.775
86sr


?
1.0767
–


87rb
27.83%
4.9×1010 y
??
0.283
87sr",434,,george de hevesy,1.532,empirical: 248 pm,1300,90,128,2.4,,2.5,0.3,0.216,,,,,,,,,,,,,,,,,,,,,
38,strontium,sr,"strontium, sr","/?str?n???m/ or /?str?nti?m/, stron-sh(ee)-?m or stron-tee-?m",silvery white metallic; with a pale yellow tint,38,"group 2 (alkaline earth metals), s-block",5,alkaline earth metal,87.621,[kr] 5s2,2,,solid,1050,1650,,2.375,,,,7.43,141,26.4,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 796, 882, 990, 1139, 1345, 1646",2,pauling scale: 0.95,"1st: 549.5 kj/mol, 2nd: 1064.2 kj/mol, 3rd: 4138 kj/mol",195±10 pm,249,face-centered cubic (fcc),,35.4,paramagnetic,7440-24-6,william cruickshank (1787),,"iso
na
half-life
dm
de (mev)
dp


82sr
syn
25.36 d
?
–
82rb


83sr
syn
1.35 d
?
–
83rb


?+
1.23
83rb


?
0.76, 0.36
–


84sr
0.56%
84sr is stable with 46 neutrons


85sr
syn
64.84 d
?
–
85rb


?
0.514d
–


86sr
9.86%
86sr is stable with 48 neutrons


87sr
7.00%
87sr is stable with 49 neutrons


88sr
82.58%
88sr is stable with 50 neutrons


89sr
syn
50.52 d
?
1.49
89rb


??
0.909d
89y


90sr
trace
28.90 y
??
0.546
90y",796,"after the mineral strontianite, itself named after strontian, scotland",humphry davy (1808),2.64,empirical: 215 pm,,22.5,132,15.7,6.03,,1.5,,0.28,,,,,,,,,,,,,,,,,,,,
39,yttrium,y,"yttrium, y","/??tri?m/, it-ree-?m",silvery white,39,"group 3, d-block",5,transition metal,88.905842,[kr] 4d1 5s2,2,,solid,1799,3203,,4.24,,,,11.42,363,26.53,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1883, 2075, (2320), (2627), (3036), (3607)",3,pauling scale: 1.22,"1st: 600 kj/mol, 2nd: 1180 kj/mol, 3rd: 1980 kj/mol",190±7 pm,,hexagonal close-packed (hcp),,17.2,paramagnetic,7440-65-5,johan gadolin (1794),,"iso
na
half-life
dm
de (mev)
dp


87y
syn
3.35 d
?
–
87sr


?
0.48, 0.38d
–


88y
syn
106.6 d
?
–
88sr


?
1.83, 0.89
–


89y
100%
89y is stable with 50 neutrons


90y
syn
2.67 d
??
2.28
90zr


?
2.18
–


91y
syn
58.5 d
??
1.54
91zr


?
1.20
–",1883,"after ytterby, sweden and its mineral ytterbite (gadolinite)",carl gustav mosander (1840),4.472,empirical: 180 pm,3300,"?, poly: 10.6 μm/(m·k) (at r.t.)","?, poly: 596 n?·m (at r.t.)",63.5,25.6,41.2,,200–589 mpa,0.243,,,,,,,,,,,,,,,,,,,,
40,zirconium,zr,"zirconium, zr","/z?r?ko?ni?m/, z?r-koh-ni-?m",silvery white,40,"group 4, d-block",5,transition metal,91.2242,[kr] 4d2 5s2,2,,solid,2128,4650,,5.8,,,,14,591,25.36,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2639, 2891, 3197, 3575, 4053, 4678",4,pauling scale: 1.33,"1st: 640.1 kj/mol, 2nd: 1270 kj/mol, 3rd: 2218 kj/mol",175±7 pm,,hexagonal close-packed (hcp),,22.6,paramagnetic,7440-67-7,martin heinrich klaproth (1789),,"iso, na, half-life, dm, de (mev), dp, 88zr, syn, 83.4 d, ?, –, 88y, ?, 0.392d, –, 89zr, syn, 78.4 h, ?, –, 89y, ?+, 0.902, 89y, ?, 0.909d, –, 90zr, 51.45%, 90zr is stable with 50 neutrons, 91zr, 11.22%, 91zr is stable with 51 neutrons, 92zr, 17.15%, 92zr is stable with 52 neutrons, 93zr, trace, 1.53×106 y, ??, 0.060, 93nb, 94zr, 17.38%, 94zr is stable with 54 neutrons, 96zr, 2.80%, 2.0×1019 y, ????, 3.348, 96mo",2639,"after zircon, zargun ????? meaning ""gold-colored"".",jöns jakob berzelius (1824),6.52,empirical: 160 pm,3800,5.7,421,88,33,91.1,5,638–1880 mpa,0.34,820–1800 mpa,,,,,,,,,,,,,,,,,,,
41,niobium,nb,"niobium, nb","/na??o?bi?m/, ny-oh-bee-?m","gray metallic, bluish when oxidized",41,"group 5, d-block",5,transition metal,92.906372,[kr] 4d4 5s1,2,,solid,2750,5017,,,,,,30,689.9,24.6,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2942, 3207, 3524, 3910, 4393, 5013",5,pauling scale: 1.6,"1st: 652.1 kj/mol, 2nd: 1380 kj/mol, 3rd: 2416 kj/mol",164±6 pm,,body-centered cubic (bcc),,53.7,paramagnetic,7440-03-1,charles hatchett (1801),,"iso
na
half-life
dm
de (mev)
dp


90nb
syn
14.6 h
?+
–
90zr


91nb
syn
680 y
?
–
91zr


91mnb
syn
60.86 d
it
0.104e
91nb


92m1nb
syn
10.15 d
?
–
92zr


?
0.934
–


92nb
trace
3.47×107 y
?
–
92zr


?
0.561, 0.934
–


93nb
100%
93nb is stable with 52 neutrons


93mnb
syn
16.13 y
it
0.031e
93nb


94nb
trace
20300 y
??
0.471
94mo


?
0.702, 0.871
–


95nb
syn
34.991 d
??
0.159
95mo


?
0.765
–


95mnb
syn
3.61 d
it
0.235
95nb


96nb
syn
23.4 h
??
–
96mo",2942,"after niobe in greek mythology, daughter of tantalus (tantalum)",christian wilhelm blomstrand (1864),8.57,empirical: 146 pm,3480,7.3,152,105,38,170,6,735–2450 mpa,0.4,870–1320 mpa,,,,,,,,,columbium,,,,,heinrich rose (1844),,,,,
42,molybdenum,mo,"molybdenum, mo","/?m?l?b?di?n?m/ or /m??l?bd?n?m/, mol-ib-dee-n?m or m?-lib-di-n?m",gray metallic,42,"group 6, d-block",5,transition metal,95.951,[kr] 4d5 5s1,2,,solid,2896,4912,,9.33,,,,37.48,598,24.06,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2742, 2994, 3312, 3707, 4212, 4879",6,pauling scale: 2.16,"1st: 684.3 kj/mol, 2nd: 1560 kj/mol, 3rd: 2618 kj/mol",154±5 pm,,body-centered cubic (bcc),,138,paramagnetic,7439-98-7,carl wilhelm scheele (1778),,"iso
na
half-life
dm
de (mev)
dp


92mo
14.65%
92mo is stable with 50 neutrons


93mo
syn
4×103 y
?
–
93nb


94mo
9.19%
94mo is stable with 52 neutrons


95mo
15.87%
95mo is stable with 53 neutrons


96mo
16.67%
96mo is stable with 54 neutrons


97mo
9.58%
97mo is stable with 55 neutrons


98mo
24.29%
98mo is stable with 56 neutrons


99mo
syn
65.94 h
??
0.436, 1.214
99mtc


?
0.74, 0.36,
0.14
–


100mo
9.74%
7.8×1018 y
????
3.04
100ru",2742,,peter jacob hjelm (1781),10.28,empirical: 139 pm,5400,4.8,53.4,329,126,230,5.5,1370–2500 mpa,0.31,1400–2740 mpa,,,,,,,,,,,,,,,54.3,,,,
43,technetium,tc,"technetium, tc","/t?k?ni??i?m/, tek-nee-shee-?m",shiny gray metal,43,"group 7, d-block",5,transition metal,98,[kr] 4d5 5s2,2,,solid,2430,4538,,,,,,33.29,585.2,24.27,"vapor pressure (extrapolated), p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2727, 2998, 3324, 3726, 4234, 4894",7,pauling scale: 1.9,"1st: 702 kj/mol, 2nd: 1470 kj/mol, 3rd: 2850 kj/mol",147±7 pm,,hexagonal close-packed (hcp),,50.6,paramagnetic,7440-26-8,,,"iso
na
half-life
dm
de (mev)
dp


95mtc
syn
61 d
?
–
95mo


?
0.204, 0.582,
0.835
–


it
0.0389, e
95tc


96tc
syn
4.3 d
?
–
96mo


?
0.778, 0.849,
0.812
–


97tc
syn
2.6×106 y
?
–
97mo


97mtc
syn
91 d
it
0.965, e
97tc


98tc
syn
4.2×106 y
??
0.4
98ru


?
0.745, 0.652
–


99tc
trace
2.111×105 y
??
0.294
99ru


99mtc
syn
6.01 h
it
0.142, 0.002
99tc


?
0.140
–",2727,,,11,empirical: 136 pm,16200,7.1,200,,,,,,,,,,,,,,dmitri mendeleev (1871),emilio segrè and carlo perrier (1937),,,,,,,,,,,
44,ruthenium,ru,"ruthenium, ru","/ru???i?ni?m/, roo-thee-nee-?m",silvery white metallic,44,"group 8, d-block",5,transition metal,101.072,[kr] 4d7 5s1,2,,,2607,4423,,10.65,,,,38.59,619,24.06,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2588, 2811, 3087, 3424, 3845, 4388",-4,pauling scale: 2.2,"1st: 710.2 kj/mol, 2nd: 1620 kj/mol, 3rd: 2747 kj/mol",146±7 pm,,hexagonal close-packed (hcp),,117,paramagnetic,7440-18-8,,,"iso
na
half-life
dm
de (mev)
dp


96ru
5.54%
96ru is stable with 52 neutrons


97ru
syn
2.9 d
?
–
97tc


?
0.215, 0.324
–


98ru
1.87%
98ru is stable with 54 neutrons


99ru
12.76%
99ru is stable with 55 neutrons


100ru
12.60%
100ru is stable with 56 neutrons


101ru
17.06%
101ru is stable with 57 neutrons


102ru
31.55%
102ru is stable with 58 neutrons


103ru
syn
39.26 d
??
0.226
103rh


?
0.497
–


104ru
18.62%
104ru is stable with 60 neutrons


106ru
syn
373.59 d
??
0.039
106rh",2588,after ruthenia (latin for: medieval kyivska rus' region),,12.45,empirical: 134 pm,5970,6.4,71,447,173,220,6.5,2160,0.3,,,,,,,,,karl ernst claus (1844),,,,,,,,,,,
